run_number,max_accuracy,max_accuracy_epoch,max_f1_macro,max_f1_macro_epoch,max_hate_f1_score,max_hate_f1_score_epoch
0,60.54437394719611,7,0.4949303122343854,26,0.17758664305590693,10
1,63.123173754161556,8,0.5052930223980859,8,0.18089668615984406,8
2,64.92831799038768,10,0.5178201648526198,22,0.20237529691211406,10
3,65.11298353537008,24,0.5187843157133738,24,0.19131238447319776,11
4,61.21176341330158,4,0.4939117240050556,4,0.17844925883694412,5
5,63.66376878920535,14,0.5069890145533663,14,0.186875,2
6,66.0628909631266,17,0.5116953580255573,21,0.18981279930343928,5
7,67.83270035828083,18,0.5274140462453024,24,0.20520520520520522,24
8,61.16424063877534,24,0.4945010486206949,24,0.17924795024031664,27
9,61.39364397747877,24,0.49414037409646755,24,0.18424170616113744,9
10,66.15057417494228,24,0.5198247993781507,26,0.19978205593897566,20
11,65.39749674459456,27,0.5218667011132201,27,0.20385157350868954,20
12,63.10753707277468,12,0.5138771013427104,12,0.18926134678137052,29
13,63.2255739428504,28,0.5146325890805367,28,0.19302649930264992,27
14,66.24030626820108,8,0.53529674617371,10,0.22078482104355326,10
15,66.24606172896908,11,0.5334709538192084,26,0.20647619047619045,26
16,63.802925380756854,21,0.5152914361339864,7,0.19381202568593112,17
17,64.02533642457773,3,0.5045276231097535,9,0.18765568779407693,24
18,67.7587455865774,7,0.5319591756147338,17,0.19114877589453863,17
19,67.6018056516114,15,0.5112959702983483,21,0.17135630730319318,8
20,60.49051259338472,15,0.4910469090978946,27,0.18311944718657452,22
21,62.80737803922758,28,0.5010139392523284,3,0.19480935597564883,3
22,66.78098037240397,25,0.5256499372303752,24,0.20267824828085415,6
23,66.80017701504586,8,0.5252169907919478,5,0.20363890832750176,17
24,62.79086932071466,8,0.5169872405169024,29,0.21136063408190225,4
25,61.551277736744844,10,0.5018983411860166,16,0.17895822588963384,16
26,67.56934188765993,29,0.5442996152190714,29,0.2332845290385554,29
27,69.00692487440186,21,0.501700841923564,27,0.13465346534653463,12
28,59.719546696325665,15,0.49158092643652246,22,0.1385386077042667,0
29,63.396751206704465,20,0.47435613740032395,27,0.14754797441364606,27
30,60.4596346911538,4,0.46363580889019756,19,0.14901960784313725,22
31,63.23635134749078,3,0.4535011630518184,2,0.12851405622489961,1
32,61.6592009001921,9,0.5036230280992938,9,0.19299253302699598,8
33,62.46270923693577,3,0.5059903365089248,16,0.19587329264748618,16
34,66.42733562300364,17,0.5284122785904602,29,0.19162790697674417,29
35,66.32884511698524,29,0.5053969865505187,21,0.1914172783738001,23